checksum1,checksum2,dataset_type,join_count,join_throughput,join_time,max_key,mpi_active_ranks,mpi_nodes,mpi_partition_strategy,mpi_processes,mpi_world_size,nr,ns,partition_throughput,partition_time,time_sec,total_throughput,verified
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,59808606.367971,1.672000,1000000,1,1,block,1,1,50000000,50000000,89184939.348414,1.121266,9.419542,10616227.186798,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,59571118.060739,1.678666,1000000,1,1,cyclic,1,1,50000000,50000000,89533021.388878,1.116906,7.617160,13128252.479779,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,42257957.125098,2.366418,1000000,1,1,block,1,1,50000000,50000000,125760505.068435,0.795162,9.796373,10207859.250042,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,42438455.656479,2.356353,1000000,1,1,cyclic,1,1,50000000,50000000,125996532.971446,0.793673,7.974853,12539416.810963,false
6185417096973469475,16931092769743058723,uniform,2499986166,176137607.610932,0.567738,1000000,4,1,block,4,4,50000000,50000000,214410609.769927,0.466395,2.892573,34571300.789684,false
6185417096973469475,16931092769743058723,uniform,2499986166,218934954.599508,0.456757,1000000,4,1,cyclic,4,4,50000000,50000000,212892061.834088,0.469722,2.269092,44070490.527655,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,60220702.470502,1.660559,1000000,4,1,block,4,4,50000000,50000000,149817793.386536,0.667477,4.374068,22862011.992836,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,187159783.453497,0.534303,1000000,4,1,cyclic,4,4,50000000,50000000,423918752.394394,0.235894,2.137563,46782239.028995,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,41858372.416077,2.389008,1000000,4,1,block,4,4,50000000,50000000,147699251.128901,0.677052,5.169925,19342641.326886,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,120267327.198936,0.831481,1000000,4,1,cyclic,4,4,50000000,50000000,366983101.758027,0.272492,2.466419,40544614.865125,false
6185417096973469475,16931092769743058723,uniform,2499986166,352116562.786762,0.283997,1000000,8,1,block,8,8,50000000,50000000,995525274.750379,0.100449,1.289307,77561035.708730,false
6185417096973469475,16931092769743058723,uniform,2499986166,413789709.200675,0.241669,1000000,8,1,cyclic,8,8,50000000,50000000,975543143.856927,0.102507,1.037429,96392156.531820,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,58605343.521503,1.706329,1000000,8,1,block,8,8,50000000,50000000,149057517.307629,0.670882,3.615761,27656692.489039,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,347278742.831740,0.287953,1000000,8,1,cyclic,8,8,50000000,50000000,809270750.719256,0.123568,1.105973,90418117.949912,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,41642560.104387,2.401389,1000000,8,1,block,8,8,50000000,50000000,146980090.863640,0.680364,4.319928,23148535.884735,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,121740148.048939,0.821422,1000000,8,1,cyclic,8,8,50000000,50000000,386230274.894311,0.258913,1.835900,54469209.900611,false
6185417096973469475,16931092769743058723,uniform,2499986166,206335489.167280,0.484648,1000000,4,4,block,4,4,50000000,50000000,230107368.969491,0.434580,2.674979,37383466.604616,false
6185417096973469475,16931092769743058723,uniform,2499986166,261697869.024395,0.382120,1000000,4,4,cyclic,4,4,50000000,50000000,226387548.123243,0.441720,2.151656,46475826.324799,false
